,Archipelago,Area (sq km),Common Name,Contact Name,Contact Organization,Country,Data Quality,Eradication End Date,Eradication ID,Eradication Start Date,Human Population,Island Code,Island Name,Latitude,Longitude,OBJECTID,Organization_Website,Primary Baiting Method,Primary Eradication Method,Primary Toxicant,Region,Scientific Name,Secondary Baiting Method,Secondary Eradication Method,Secondary Toxicant,Status (Eradication),Tertiary Eradication Method,Type (Animal),Type (Eradication),Unnamed: 30,Year of Introduction
109,Percy Islands,2.9207,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1995,783,null,None,117740,North East,-21.665444,150.33793,605,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1888
110,Molle Islands (Whitsunday),5.4233,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1990,784,1989,Unknown,81280,South Molle,-20.27043,148.840833,606,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
111,Cumberland Islands,7.6561,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1993,785,1993,Unknown,66570,Lindeman,-20.447097,149.046264,607,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
112,Hawaiian Islands,375.4407,Goat,null,null,United States,Satisfactory,1981,787,null,1001 - 10000,5900,Lana'i,20.834736,-156.935444,609,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1800
113,Channel Islands,201.4411,Goat,null,null,United States,Satisfactory,2002,788,1990,1001 - 10000,8830,Santa Catalina,33.389583,-118.455444,610,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1827
114,Auckland Islands,533.9557,Goat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,1991,789,1989,None,4520,Auckland,-50.694194,166.098375,611,null,Other,Hunting ,1080,Pacific Ocean - South West,Capra hircus,,Toxicant,,Successful,,Ungulate,Restricted Range,,1865
115,Marlborough Sound,4.8426,Wild Boar/Pig,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1989,790,1988,None,87120,Pig (Blumine),-41.175833,174.239597,612,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1840
116,Galapagos Islands,131.5002,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,2003,791,2003,None,11890,Marchena,0.331791,-90.472888,613,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,2003
117,Galapagos Islands,131.5002,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,1979,795,1979,None,11890,Marchena,0.331791,-90.472888,615,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1967
118,Galapagos Islands,131.5002,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,2002,796,2002,None,11890,Marchena,0.331791,-90.472888,616,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,2002
119,Galapagos Islands,131.5002,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,2000,797,2000,None,11890,Marchena,0.331791,-90.472888,617,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1999
120,Bay of Plenty,12.77,Wild Boar/Pig,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,2002,798,2000,None,46360,Mayor (Tuhua),-37.290416,176.255375,618,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,null
121,Poor Knights Islands,1.1,Wild Boar/Pig,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1936,799,1936,None,185230,Aorangi,-35.483778,174.741278,619,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1820
122,Stewart Islands,1702.2793,Wild Boar/Pig,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1948,800,1948,101 - 1000,2100,Stewart (Rakiura),-46.988333,167.840833,620,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Restricted Range,,null
123,Galapagos Islands,25.8885,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,1972,801,1964,None,31970,Santa Fé,-0.815833,-90.060014,621,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1975
124,Three Kings Islands,4.4739,Goat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1946,802,1946,None,91070,Great,-34.16168,172.135847,622,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1889
125,New Zealand Islands,1.7,Goat,Chappell; R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1961,803,1959,None,132290,Cuvier,-36.43668,175.772888,623,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1890
126,Galapagos Islands,178.5487,Wild Boar/Pig,null,null,Ecuador,Poor,1980,804,null,11 - 100,9620,Floreana,-1.287514,-90.43293,624,null,,Hunting ,,Pacific Ocean - North East,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,null
127,Chetwodes Islands,2.42,Wild Boar/Pig,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1963,805,1959,None,126580,Nukuwaiata,-40.90293,174.074583,625,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,null
128,Chetwodes Islands,2.42,Wild Boar/Pig,Broome; Keith,NZ Dept. of Conservation,New Zealand,Poor,1926,806,null,None,126580,Nukuwaiata,-40.90293,174.074583,626,null,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1900
129,Galapagos Islands,64.1208,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Satisfactory,1978,807,null,None,18590,Española  (Hood),-1.373375,-89.682083,627,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1905
130,Kermadec Islands,29.38,Goat,Briden; K.,NZ Dept. of Conservation,New Zealand,Good,1984,808,1972,Unknown,28470,Raoul,-29.271264,-177.927125,628,null,,Hunting ,,Pacific Ocean - South East,Capra hircus,,Toxicant,,Successful,,Ungulate,Whole Island,,1836
131,Hawaiian Islands,123.0859,Goat,KIRC,Kaho'olawe Island Reserve Commission,United States,Satisfactory,1990,810,1990,None,12410,Kaho'olawe,20.557555,-156.618375,629,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1793
132,Aldabra Atoll,31.5091,Goat,null,null,Seychelles,Good,1995,811,1993,None,28420,Malabar,-9.373764,46.339569,630,null,,Hunting ,,Indian Ocean - West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1967
133,Aldabra Atoll,10.3134,Goat,null,null,Seychelles,Good,1995,812,1993,None,55590,Picard,-9.383764,46.220778,631,null,,Hunting ,,Indian Ocean - West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1878
134,Galapagos Islands,59.4,Goat,Carrion; Victor,Galapagos National Park Service,Ecuador,Good,2003,813,1999,None,18900,Pinta,0.591666,-90.755472,632,null,,Hunting ,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1957
135,Lavezzi Archipelago,0.73,Goat,null,null,France,Satisfactory,1994,815,1993,None,253580,Lavezzu,41.338722,9.253361,634,null,,Hunting ,,Mediterranean,Capra hircus,,Trapping,,Successful,,Ungulate,Whole Island,,null
136,Bonin Islands (Mukojima Group),1.329,Goat,null,null,Japan,Poor,1999,816,null,None,187440,Nakodojima,27.621666,142.178764,635,null,,Hunting ,,Pacific Ocean - North West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1945
137,Bermuda (Castle Islands),0.1897,Goat,null,null,Bermuda,Satisfactory,1962,817,null,10-Jan,592960,Nonsuch,32.345778,-64.664653,636,null,,Hunting ,,Atlantic Ocean - North,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1953
138,Queensland Islands,0.1683,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1991,818,null,None,635120,Woody,-16.38375,145.564166,637,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1880
139,Cumberland Islands,3.8546,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1998,819,null,101 - 1000,99800,Hayman,-20.050847,148.890403,638,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
140,New Zealand Islands,19.65,Goat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1928,820,1924,11 - 100,36910,Kapiti,-40.857111,174.91375,639,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1830
141,null,8.7924,Wild Boar/Pig,null,null,France,Satisfactory,1958,821,1958,None,61270,Clipperton,10.297069,-109.219292,640,null,,Hunting ,,Pacific Ocean - North East,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1897
142,Mariana Islands,5,Goat,Kessler; Curt,US Fish and Wildlife Service,Northern Mariana Islands,Good,2000,887,1998,None,76270,Sarigan,16.710403,145.782055,692,null,,Hunting ,,Pacific Ocean - North West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1900
143,Lord Howe Islands,14.55,Wild Boar/Pig,Unknown,Unknown,Australia,Good,1981,909,1981,101 - 1000,39630,Lord Howe,-31.556278,159.088537,709,Unknown,,Hunting ,,Pacific Ocean - South West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1820
144,Lord Howe Islands,14.55,Goat,Unknown,Unknown,Australia,Good,2001,910,1999,101 - 1000,39630,Lord Howe,-31.556278,159.088537,710,Unknown,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1820
149,Channel Islands,257.5127,Domestic Sheep,Klinger; R.C.,UC Davis,United States,Good,2000,947,1981,11 - 100,7600,Santa Cruz,34.019041,-119.72625,736,null,,Hunting ,,Pacific Ocean - North East,Ovis aries,,Trapping,,Successful,,Ungulate,Whole Island,,1830
155,Auckland Islands,7.1,Domestic Cow,Torr; N.,NZ Dept. of Conservation,New Zealand,Good,1993,967,1991,None,67540,Enderby,-50.505416,166.295791,754,null,,Hunting ,,Pacific Ocean - South West,Bos taurus,,,,Successful,,Ungulate,Whole Island,,1894
156,Amsterdam and St. Paul Islands,62.5906,Domestic Cow,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Satisfactory,2010,979,1988,11 - 100,18870,Amsterdam,-37.855403,77.551611,764,null,,Hunting ,,Indian Ocean - West,Bos taurus,,,,Successful,,Ungulate,Whole Island,,1871
158,Campbell Islands,113.3,Domestic Cow,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Good,1984,993,1984,11 - 100,12890,Campbell,-52.540444,169.144972,776,null,,Hunting ,,Pacific Ocean - South West,Bos taurus,,,,Successful,,Ungulate,Restricted Range,,1902
159,Campbell Islands,113.3,Domestic Sheep,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Good,1991,994,1970,11 - 100,12890,Campbell,-52.540444,169.144972,777,null,,Hunting ,,Pacific Ocean - South West,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1895
160,New Zealand Islands,19.65,Domestic Sheep,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1930,995,1928,11 - 100,36910,Kapiti,-40.857111,174.91375,778,null,,Hunting ,,Pacific Ocean - South West,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1850
163,Stewart Islands,1702.2793,Domestic Cow,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Poor,null,998,null,101 - 1000,2100,Stewart (Rakiura),-46.988333,167.840833,781,null,,Hunting ,,Pacific Ocean - South West,Bos taurus,,,,Successful,,Ungulate,Restricted Range,,null
164,Chatham Islands,2.19,Domestic Sheep,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1961,999,1959,None,130850,South East (Rangatira),-44.348764,-176.176305,782,null,,Hunting ,,Pacific Ocean - South East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1914
165,Chatham Islands,1.13,Domestic Sheep,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1968,1000,1968,None,184720,Mangere,-44.27043,-176.3,783,null,,Hunting ,,Pacific Ocean - South East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1900
167,Mariana Islands,7.7523,Goat,Kessler; Curt,US Fish and Wildlife Service,Northern Mariana Islands,Poor,1990,1018,1989,None,66120,Aguiguan,14.854139,145.557917,798,null,,Hunting ,,Pacific Ocean - North West,Capra hircus,,,,Failed,,Ungulate,Whole Island,,null
177,Lake Rotorua,1.355,Goat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,1989,1083,1989,None,99999913,Mokoia,-38.079866,176.286055,844,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1987
179,Lake Manapouri,2.62,Red Deer,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,2007,1123,2007,None,99999903,Pomona,-45.507066,167.473109,876,null,,Hunting ,,Pacific Ocean - South West,Cervus elaphus,,,,Successful,,Ungulate,Whole Island,,null
180,Kerguelen Islands,9.0397,Mouflon,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Poor,2012,1128,null,None,60310,Haute,-49.378736,69.917486,881,null,,Hunting ,,Indian Ocean - West,Ovis musimon,,,,Successful,,Ungulate,Whole Island,,1956
181,Auckland Islands,0.03,Goat,Unknown,Unknown,New Zealand,Good,1943,1136,1941,None,567260,Ocean,-50.531694,166.273333,889,Unknown,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1865
184,Fiordland Islands,81.4,Red Deer,Crouchley; D.,NZ Dept. of Conservation,New Zealand,Good,null,1247,2006,None,16740,Secretary,-45.227514,166.940014,992,null,,Hunting ,,Pacific Ocean - South West,Cervus elaphus,,Trapping,,In Progress,,Ungulate,Whole Island,,null
188,Galapagos Islands,580.412,Donkey,Carrion; Victor,Galapagos National Park Service,Ecuador,Good,2004,1252,1976,None,4240,Santiago (San Salvador),-0.258764,-90.710847,997,null,,Hunting ,,Pacific Ocean - North East,Equus asinus,,,,Successful,,Ungulate,Whole Island,,1875
189,Galapagos Islands,4738.5798,Donkey,Carrion; Victor,Galapagos National Park Service,Ecuador,Good,2005,1253,2004,1001 - 10000,1120,Isabela,-0.442708,-91.188319,998,null,,Hunting ,,Pacific Ocean - North East,Equus asinus,,,,Successful,,Ungulate,Restricted Range,,1880
190,Fiji (Mamanuca Group),0.33,Goat,null,null,Fiji,Satisfactory,2011,1279,2011,None,346460,Kadomo,-17.49168,177.060403,1023,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
191,Fiji (Mamanuca Group),0.41,Goat,null,null,Fiji,Good,2011,1280,2010,None,330750,Monuriki,-17.607083,177.0425,1024,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
192,Dusky Sound,214.3404,Red Deer,Crouchley; D.,NZ Dept. of Conservation,New Zealand,Satisfactory,null,1284,2009,None,8510,Resolution,-45.680027,166.586625,1028,null,,Hunting ,,Pacific Ocean - South West,Cervus elaphus,,,,In Progress,,Ungulate,Whole Island,,null
193,Great Barrier Islands,3.28,Goat,Agnew; D.,NZ Dept. of Conservation,New Zealand,Satisfactory,2002,1287,2002,Unknown,99540,Rakitu,-36.12625,175.500389,1031,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
194,New Zealand Islands,0.06,Goat,Basset; A.,NZ Dept. of Conservation,New Zealand,Satisfactory,1987,1312,1987,Unknown,99999910,Pouawa,-38.60863,178.181775,1053,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
195,Trinidade and Martin Vas,10.8879,Domestic Sheep,null,null,Brazil,Good,1965,1317,1957,11 - 100,53760,Trindade,-20.504611,-29.320472,1058,null,,Hunting ,,Atlantic Ocean - South,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1781
196,Trinidade and Martin Vas,10.8879,Donkey,null,null,Brazil,Good,1965,1318,1957,11 - 100,53760,Trindade,-20.504611,-29.320472,1059,null,,Hunting ,,Atlantic Ocean - South,Equus asinus,,,,Successful,,Ungulate,Whole Island,,1916
197,Trinidade and Martin Vas,10.8879,Wild Boar/Pig,null,null,Brazil,Good,1965,1319,1957,11 - 100,53760,Trindade,-20.504611,-29.320472,1060,null,,Hunting ,,Atlantic Ocean - South,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,1700
198,Revillagigedo Archipelago,172.2788,Domestic Sheep,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Satisfactory,2012,1910,2009,101 - 1000,9970,Socorro,18.790305,-110.983708,1208,null,,Hunting ,,Pacific Ocean - North East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1869
199,Pacific Coast Baja California Peninsula (San Benitos Islands),5.4692,Donkey,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Satisfactory,2009,1912,2005,11 - 100,80820,San Benito Oeste,28.307763,-115.584222,1210,null,,Hunting ,,Pacific Ocean - North East,Equus asinus,,,,Successful,,Ungulate,Whole Island,,null
201,Capricorn,0.0659,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1972,1955,1971,None,1100140,West Fairfax,-23.863375,152.366208,1244,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
206,Juan Fernandez Islands,2.5546,Domestic Sheep,Leiva; Ivan,Corporacion Nacional Forestal,Chile,Satisfactory,1983,2120,1981,None,127280,Santa Clara,-33.700861,-78.935472,1322,conaf.cl,,Hunting ,,Pacific Ocean - South East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,null
207,Juan Fernandez Islands,52.0726,Domestic Sheep,Leiva; Ivan,Corporacion Nacional Forestal,Chile,Satisfactory,1986,2121,1981,101 - 1000,20790,Robinson Crusoe,-33.6375,-78.855875,1323,conaf.cl,,Hunting ,,Pacific Ocean - South East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,null
208,Juan Fernandez Islands,52.0726,Donkey,Leiva; Ivan,Corporacion Nacional Forestal,Chile,Poor,1988,2122,1987,101 - 1000,20790,Robinson Crusoe,-33.6375,-78.855875,1324,conaf.cl,,Hunting ,,Pacific Ocean - South East,Equus asinus,,,,Successful,,Ungulate,Whole Island,,null
211,Aldabra Atoll,118.898,Goat,null,null,Seychelles,Good,2012,2202,2007,11 - 100,12730,Grande Terre,-9.430833,46.461258,1379,null,,Hunting ,,Indian Ocean - West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
212,South Georgia Islands,3603.3045,Reindeer,Collins; Martin,Government of South Georgia and Sandwich Islands,South Georgia and the South Sandwich Islands,Good,null,2245,2013,11 - 100,1390,South Georgia,-54.427944,-36.49294,1391,www.sgislands.gs,,Hunting ,,Atlantic Ocean - South,Rangifer tarandus,,Other,,In Progress,,Ungulate,Restricted Range,,null
213,Great Barrier Islands,6.2182,Fallow Deer,Ritchie; Jo,Great Barrier Island Charitable Trust,New Zealand,Good,2007,2247,null,None,75120,Kaikoura,-36.180055,175.32,1393,null,Aerial Broadcast,Hunting ,Brodifacoum,Pacific Ocean - South West,Dama dama,,Toxicant,,Successful,,Ungulate,Whole Island,,1930
214,Aldabra Atoll,31.5091,Goat,null,null,Seychelles,Good,1988,2337,1987,None,28420,Malabar,-9.373764,46.339569,1475,null,,Hunting ,,Indian Ocean - West,Capra hircus,,,,Failed,,Ungulate,Whole Island,,null
221,Hawaiian Islands,375.4407,Domestic Sheep,null,null,United States,Satisfactory,1980,2367,null,1001 - 10000,5900,Lana'i,20.834736,-156.935444,1497,null,,Hunting ,,Pacific Ocean - North East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,null
222,Lord Howe Islands,14.55,Goat,null,null,Australia,Poor,1976,2387,1970,101 - 1000,39630,Lord Howe,-31.556278,159.088537,1517,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Failed,,Ungulate,Whole Island,,1820
225,Hauraki Gulf,0.19,Goat,null,null,New Zealand,Poor,null,2415,null,None,388440,Moturekareka,-36.474169,174.798839,1535,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
226,Hawaiian Islands,123.0859,Domestic Sheep,null,null,United States,Satisfactory,1990,2424,1990,None,12410,Kaho'olawe,20.557555,-156.618375,1542,null,,Hunting ,,Pacific Ocean - North East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,1858
231,Mariana Islands,33.1319,Wild Boar/Pig,null,null,Northern Mariana Islands,Good,null,2507,2002,None,27610,Anatahan,16.362486,145.666653,1608,null,,Hunting ,,Pacific Ocean - North West,Sus scrofa,,,,In Progress,,Ungulate,Whole Island,,null
232,Mariana Islands,33.1319,Goat,null,null,Northern Mariana Islands,Good,2005,2508,2002,None,27610,Anatahan,16.362486,145.666653,1609,null,,Hunting ,,Pacific Ocean - North West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
234,Cyprus islands,9317.0889,Wild Boar/Pig,null,null,Cyprus,Satisfactory,2004,2521,1997,> 10000,740,Cyprus,35.129555,33.431236,1621,null,,Hunting ,,Mediterranean,Sus scrofa,,Trapping,,Successful,,Ungulate,Restricted Range,,1990
235,Capricorn Bunker,0.2415,Goat,null,null,Australia,Poor,null,2539,null,None,513290,Hoskyn (West),-23.807083,152.289597,1636,null,,Hunting ,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
237,Channel Islands,221.9673,Mule Deer,null,null,United States,Satisfactory,2011,2598,2011,None,8330,Santa Rosa,33.966416,-120.110514,1688,null,,Hunting ,,Pacific Ocean - North East,Odocoileus hemionus,,,,Successful,,Ungulate,Whole Island,,null
238,Channel Islands,221.9673,Rocky Mountain Elk,null,null,United States,Satisfactory,2011,2599,2011,None,8330,Santa Rosa,33.966416,-120.110514,1689,null,,Hunting ,,Pacific Ocean - North East,Cervus elaphus nelsoni,,,,Successful,,Ungulate,Whole Island,,null
239,Kerguelen Islands (Golfe du Morbihan),36.4946,Domestic Sheep,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Poor,null,2600,null,None,25910,Longue,-49.540847,69.915833,1690,null,,Hunting ,,Indian Ocean - West,Ovis aries,,,,In Progress,,Ungulate,Whole Island,,1958
240,Preservation Inlet,12.452,Unspecified Deer,null,null,New Zealand,Good,2008,2655,2006,None,49970,Coal,-46.119597,166.63125,1737,null,Aerial Broadcast,Hunting ,Brodifacoum,Pacific Ocean - South West,Cervus spp.,,Toxicant,,Successful,,Ungulate,Whole Island,,null
241,Bahamas,0.4,Goat,null,null,Bahamas,Poor,null,2660,null,None,247280,Booby Cay,22.326639,-72.722097,1741,null,,Hunting ,,Caribbean,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
245,Bonin Islands (Hahajima Group),7.9053,Goat,null,null,Japan,Poor,null,2718,null,None,65390,Anijima,27.120389,142.2125,1790,null,,Hunting ,,Pacific Ocean - North West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
246,Greater Antilles (Hispaniola (DR Islands)),18,Domestic Cow,Swinnerton; Kirsty,Island Conservation,Dominican Republic,Satisfactory,null,2755,2012,None,9999987,Cabritos,18.487601,-71.678816,1819,www.islandconservation.org,,Hunting ,,Caribbean,Bos taurus,,,,In Progress,,Ungulate,Whole Island,,null
248,Seychelles,2.01,Wild Boar/Pig,null,null,Seychelles,Poor,2003,2766,2003,101 - 1000,136220,North,-4.390847,55.247083,1827,null,,Hunting ,,Indian Ocean - West,Sus scrofa,,,,Successful,,Ungulate,Whole Island,,null
249,Seychelles,2.01,Domestic Cow,null,null,Seychelles,Poor,2003,2767,2003,101 - 1000,136220,North,-4.390847,55.247083,1828,null,,Hunting ,,Indian Ocean - West,Bos taurus,,Unknown,,Successful,Unknown,Ungulate,Whole Island,,null
252,Gambier Islands,0.3361,Goat,Griffiths; Richard,Island Conservation,French Polynesia,Good,2015,2799,null,None,420850,null,-23.216264,-134.972125,1860,null,,Hunting ,,Pacific Ocean - South East,Capra hircus,,,,In Progress,,Ungulate,Whole Island,,null
0,Crete Islands (Koufonisi group),4.7307,Goat,null,null,Greece,Poor,1976,774,null,None,88220,Koufonisi,34.936111,26.139153,596,null,,,,Mediterranean,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
1,Lesser Antilles (Netherland Islands),1.4758,Goat,null,null,Bonaire Sint Eustatius and Saba,Good,1996,360,null,None,175690,Klein Curacao,11.989166,-68.645847,282,null,,Other,,Caribbean,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1915
4,Juan Fernandez Islands,52.0726,Goat,Island Conservation,Island Conservation,Chile,Satisfactory,1686,510,null,101 - 1000,20790,Robinson Crusoe,-33.6375,-78.855875,398,www.islandconservation.org,,Other,,Pacific Ocean - South East,Capra hircus,,,,Failed,,Ungulate,Whole Island,,1574
6,Pacific Coast Baja California Peninsula,261.9406,Goat,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Good,2007,567,2003,101 - 1000,7500,Guadalupe,29.039778,-118.293319,432,null,,Other,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
7,Line Islands,4.4012,Goat,Rauzon; Mark,null,United States Minor Outlying Islands,Satisfactory,1935,679,null,None,92090,Jarvis,-0.380444,-160.020875,509,null,,Other,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
8,Corner Inlet,14.6675,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Poor,1950,781,null,Unknown,45320,Sunday,-38.714972,146.631652,603,null,,Other,,Pacific Ocean - South West,Capra hircus,,,,Successful,,Ungulate,Whole Island,,1928
9,Queensland Islands,82.1319,Goat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Satisfactory,1997,786,null,Unknown,16220,Townshend,-22.278347,150.509583,608,null,,Other,,Pacific Ocean - South West,Capra hircus,,Hunting ,,Successful,,Ungulate,Whole Island,,1967
10,Pacific Coast Baja California Peninsula,10.2423,Goat,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Good,1997,814,1997,101 - 1000,55850,Natividad,27.876861,-115.176786,633,null,,Other,,Pacific Ocean - North East,Capra hircus,,,,Successful,,Ungulate,Whole Island,,null
11,Pacific Coast Baja California Peninsula,10.2423,Domestic Sheep,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Good,1997,953,1997,101 - 1000,55850,Natividad,27.876861,-115.176786,743,null,,Other,,Pacific Ocean - North East,Ovis aries,,,,Successful,,Ungulate,Whole Island,,null
